"Local Authority","School Type","Year Group","Year","Walk","Cycle","Scooter / Skate","Park & Stride","Driven","Bus","Taxi","Other"
"Angus","SEN","P1-P4",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P5-P7",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P5-P7",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P5-P7",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P5-P7",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P5-P7",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P5-P7",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","P5-P7",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S1-S3",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S1-S3",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S1-S3",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S1-S3",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S1-S3",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S1-S3",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S1-S3",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S4-S6",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S4-S6",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S4-S6",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S4-S6",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S4-S6",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S4-S6",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S4-S6",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P1-P4",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P1-P4",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P1-P4",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P1-P4",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P1-P4",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P1-P4",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P1-P4",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P5-P7",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P5-P7",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P5-P7",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P5-P7",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P5-P7",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P5-P7",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P5-P7",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S1-S3",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S1-S3",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S1-S3",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S1-S3",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S1-S3",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S1-S3",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S1-S3",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S4-S6",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S4-S6",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S4-S6",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S4-S6",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S4-S6",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S4-S6",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S4-S6",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","Primary","P1-P4",2008,0.366,0.023,0.004,0.06,0.298,0.216,0.03,0.002
"Argyll & Bute","Primary","P1-P4",2009,0.36,0.01,NA,0.065,0.355,0.189,0.016,NA
