"Local Authority","School Type","Year Group","Year","Walk","Cycle","Scooter / Skate","Park & Stride","Driven","Bus","Taxi","Other"
"Angus","SEN","S1-S3",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S4-S6",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S4-S6",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S4-S6",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S4-S6",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S4-S6",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S4-S6",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","SEN","S4-S6",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P1-P4",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P1-P4",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P1-P4",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P1-P4",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P1-P4",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P1-P4",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P1-P4",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P5-P7",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P5-P7",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P5-P7",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P5-P7",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P5-P7",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P5-P7",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","P5-P7",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S1-S3",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S1-S3",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S1-S3",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S1-S3",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S1-S3",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S1-S3",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S1-S3",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S4-S6",2008,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S4-S6",2009,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S4-S6",2010,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S4-S6",2011,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S4-S6",2012,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S4-S6",2013,NA,NA,NA,NA,NA,NA,NA,NA
"Angus","Independent","S4-S6",2014,NA,NA,NA,NA,NA,NA,NA,NA
"Argyll & Bute","Primary","P1-P4",2008,863.028,54.234,9.432,141.48,702.684,509.328,70.74,4.716
"Argyll & Bute","Primary","P1-P4",2009,597.6,16.6,NA,107.9,589.3,313.74,26.56,NA
"Argyll & Bute","Primary","P1-P4",2010,357.296,8.768,NA,134.808,393.464,169.88,19.728,NA
"Argyll & Bute","Primary","P1-P4",2011,853,75,22,224,749,436,24,15
"Argyll & Bute","Primary","P1-P4",2012,504,27,NA,127,464,155,19,NA
"Argyll & Bute","Primary","P1-P4",2013,407,27,15,96,398,183,21,0
"Argyll & Bute","Primary","P1-P4",2014,929,70,39,207,765,236,NA,NA
"Argyll & Bute","Primary","P5-P7",2008,747.512,82.861,NA,133.988,354.363,403.727,26.445,NA
"Argyll & Bute","Primary","P5-P7",2009,489.192,24.684,0,96.492,258.06,227.766,19.074,6.732
"Argyll & Bute","Primary","P5-P7",2010,271.653,27.094,0,99.82,166.129,131.192,9.269,7.843
"Argyll & Bute","Primary","P5-P7",2011,141,25,6,66,88,55,9,0
"Argyll & Bute","Primary","P5-P7",2012,375,32,NA,103,201,101,NA,7
"Argyll & Bute","Primary","P5-P7",2013,262,49,17,57,226,107,10,0
"Argyll & Bute","Primary","P5-P7",2014,622,82,41,166,410,193,NA,NA
"Argyll & Bute","Secondary ","S1-S3",2008,35.987,0,0,0,9.991,44.038,0,6.984
"Argyll & Bute","Secondary ","S1-S3",2009,146.952,NA,NA,13.104,75.816,221.832,NA,NA
"Argyll & Bute","Secondary ","S1-S3",2010,251.248,9.192,NA,43.662,100.346,350.062,NA,9.958
"Argyll & Bute","Secondary ","S1-S3",2011,291,10,NA,32,174,508,NA,13
"Argyll & Bute","Secondary ","S1-S3",2012,23,0,0,0,13,54,NA,NA
"Argyll & Bute","Secondary ","S1-S3",2013,42,5,0,10,37,119,0,0
"Argyll & Bute","Secondary ","S1-S3",2014,111,12,NA,21,71,187,0,NA
